DESCRIPCIÓN COMPLETA,PRODUCTO,EMPAQUE,UM,DIAS DE DESPACHO,C. Minimo,C. Maximo,C. Promedio,Altura,Largo,Ancho,Volumen (m^3),Condicion,FIN_NUM,Volumen Adaptado
ACEITE (20L),ACEITE (20L),Bidon de 20L,PZA,Lunes,39,55,37,45,2,26,0.00234,S,20,0.004329
AZUCAR CANELA (Kg),AZUCAR CANELA (1. KG),Bolsa de 1kg,PZA,Lunes,23,30,23,18,40,35,0.0252,S,1,0.5796
MIX DE MASA ( Caja con 40 + 6  ),MIX DE MASA (40 PACKS),Caja con 40 + 6 Duo-packs,CAJA,Viernes,24,40,29,27,35,21,0.019845,S,46,0.012510978
MINI MIX DE MASA ( Caja con 160 + 6),MIX DE MASA (160 PACKS),Caja con 160 + 6 Duo-packs,CAJA,Viernes,28,35,12,,,,,S,166,0
CAJA PARA PIZZA (50 PZA),CAJA PARA PIZZA (50 PZA),Paquete de 50 piezas,PZA,Sabados,766,"1,071.00",819,,,,,NA,50,0
CATSUP (3KG),CATSUP (3KG),Bolsa de 3 kg,PZA,Lunes,76,100,77,4,40,24,0.00384,S,3,0.09856
"CATSUP SOBRE (Caja con 1,000 sobres de 8 gr c/u)",CAJA CATSUP SOBRE,"Caja con 1,000 sobres de 8 gr c/u",PZA,Lunes,82,105,92,24,31,23,0.017112,S,1000,0.001574304
JALAPEÑO EN RODAJA 3 KG (solicitar en multiplos de 4),CAJA JALAPEÑO EN RODAJA (4 x 3KG),Caja con 4 Bolsas de 3kg c/u,BLS,Lunes,50,88,64,18,44,25,0.0198,S,12,0.1056
CHORIZO (Kg),CHORIZO,Chorizo (Bolsa 1Kg),KG,Lunes,289,410,340,5,20,20,0.002,R,1,0.68
HARINA (Costal de 25 kg),HARINA (44KG),Costal de 44 kg,PZA,Lunes,505,700,527,13,68,49,0.043316,S,44,0.518807545
JAMON (Bolsa de 1 kg),JAMON (1 KG),Bolsa de 1 kg c/u,KG,Viernes,695,"1,017.00",778,7,15,15,0.001575,R,1,1.22535
