DESCRIPCION COMPLETA,PRODUCTO,EMPAQUE,UM,DIAS DE DESPACHO,C. Minimo,C. Maximo,C. Promedio,C. Max. Ajustado Semanal,Altura,Largo,Ancho,Volumen (m^3),Condicion,FIN_NUM,Volumen Adaptado,
ACEITE,ACEITE (20L),Bidon de 20L,PZA,Semanal (Lunes),39,55,37,55,45,2,26,0.00234,S,20,0.004329,
AZUCAR CANELA,AZUCAR CANELA (1. KG),Bolsa de 1kg,PZA,Semanal (Lunes),23,30,23,30,18,40,35,0.0252,S,1,0.5796,
MIX DE MASA,MIX DE MASA (40 PACKS),Caja con 40 + 6 Duo-packs,CAJA,Semanal (Viernes),24,40,29,40,27,35,21,0.019845,S,46,0.012510978,
MINI MIX DE MASA,MIX DE MASA (160 PACKS),Caja con 160 + 6 Duo-packs,CAJA,Semanal (Viernes),28,35,12,35,,,,,S,166,0,
CAJA PARA PIZZA,CAJA PARA PIZZA (50 PZA),Paquete de 50 piezas,PZA,Semanal (Sabado),766,1071,819,1071,,,,,S,50,0,
CATSUP,CATSUP (3KG),Bolsa de 3 kg,PZA,Semanal (Lunes),76,100,77,100,4,40,24,0.00384,S,3,0.09856,
CATSUP SOBRE,1000 sobres de 8 gr c/u),CAJA CATSUP SOBRE,"Caja con 1,000 sobres de 8 gr c/u",Semanal (Lunes),59,105,82,105,92,24,31,23,0.017112,S,1000,0.001574304
JALAPENO EN RODAJA,CAJA JALAPENO EN RODAJA (4 x 3KG),Caja con 4 Bolsas de 3kg c/u,BLS,Semanal (Lunes),50,88,64,88,18,44,25,0.0198,S,12,0.1056,
CHORIZO,CHORIZO,Chorizo (Bolsa 1Kg),KG,Semanal (Lunes),289,410,340,410,5,20,20,0.002,R,1,0.68,
HARINA,HARINA (44KG),Costal de 44 kg,PZA,Semanal (Lunes),505,700,527,700,13,68,49,0.043316,S,44,0.518807545,
JAMON,JAMON (1 KG),Bolsa de 1 kg c/u,KG,Semanal (Viernes),695,1017,778,1017,7,15,15,0.001575,R,1,1.22535,
ACEITE MANTEQUILLA,ACEITE MANTEQUILLA,Bidon de 4.9L,PZA,Cada 6 meses,16,20,13,0.83,33,16,16,0.008448,S,4.9,0.022413061,
PEPPERONI,PEPPERONI (1 KG),Paquete de 1kg c/u,PZA,Semanal (Viernes),"1,348.00",1778,"1,424.00",1778,8,25,18,0.0036,R,1,5.1264,
PIZZ A EN ALMIBAR,CAJA PIï¿½A EN ALMIBAR (4 X 3KG),Caja con 4 Bolsas de 3 kg c/u,LATA,Semanal (Lunes),310,420,338,420,19,47,32,0.028576,S,12,0.804890667,
QUESO,QUESO,Bolsa de 1kg,KG,Semanal (Lunes),"5,631.00",7677,5946,7677,9,27,19,0.004617,R,1,27.452682,
SALSA PIZZA,SALSA PIZZA (3KG),Bolsa de 3 kg c/u,BLS,Semanal (Lunes),"1,062.00",1500,"1,130.00",1500,15,32,52,0.02496,S,3,9.4016,
VALENTINA,VALENTINA (GAL),Galon,PZA,Semanal (Lunes),26,26,21,26,32,17,17,0.009248,S,1,0.194208,
SALSA PICANTE EN SOBRE,CAJA SAYULITA EN SOBRE,Caja con 900 sobres de 10 gr c/u,PZA,Semanal (Lunes),71,90,71,90,21,34,28,0.019992,S,900,0.001577147,
TOCINO,TOCINO (1KG),Bolsa de 1kg,KG,Semanal (Viernes),180,230,180,230,5,34,17,0.00289,R,1,0.5202,
