Product,Rack,Quantity
ACEITE,1,55
AZUCAR CANELA,1,30
MIX DE MASA,1,40
MINI MIX DE MASA,1,35
CATSUP,1,100
JALAPENO EN RODAJA,1,88
HARINA,1,44
ACEITE,2,55
AZUCAR CANELA,2,30
MIX DE MASA,2,40
MINI MIX DE MASA,2,35
CATSUP,2,100
JALAPENO EN RODAJA,2,88
HARINA,2,44
ACEITE,3,55
AZUCAR CANELA,3,30
MIX DE MASA,3,40
MINI MIX DE MASA,3,35
CATSUP,3,100
JALAPENO EN RODAJA,3,88
HARINA,3,44
ACEITE,4,55
AZUCAR CANELA,4,30
MIX DE MASA,4,40
MINI MIX DE MASA,4,35
CATSUP,4,100
JALAPENO EN RODAJA,4,88
HARINA,4,44
ACEITE,5,55
AZUCAR CANELA,5,30
MIX DE MASA,5,40
MINI MIX DE MASA,5,35
CATSUP,5,100
JALAPENO EN RODAJA,5,88
HARINA,5,44
ACEITE,6,55
AZUCAR CANELA,6,30
MIX DE MASA,6,40
MINI MIX DE MASA,6,35
CATSUP,6,100
JALAPENO EN RODAJA,6,88
HARINA,6,44
ACEITE,7,55
AZUCAR CANELA,7,30
MIX DE MASA,7,40
MINI MIX DE MASA,7,35
CATSUP,7,100
JALAPENO EN RODAJA,7,88
HARINA,7,44
HARINA,8,44
HARINA,9,44
HARINA,10,44
HARINA,11,44
HARINA,12,44
HARINA,13,44
HARINA,14,44
HARINA,15,44
HARINA,16,44
HARINA,17,44
HARINA,18,44
HARINA,19,44
HARINA,20,44
HARINA,21,44
HARINA,22,40
ACEITE MANTEQUILLA,22,20
PIZZ A EN ALMIBAR,22,67
HARINA,23,40
ACEITE MANTEQUILLA,23,20
PIZZ A EN ALMIBAR,23,67
HARINA,24,40
ACEITE MANTEQUILLA,24,20
PIZZ A EN ALMIBAR,24,67
PIZZ A EN ALMIBAR,25,67
PIZZ A EN ALMIBAR,26,67
PIZZ A EN ALMIBAR,27,67
PIZZ A EN ALMIBAR,28,67
PIZZ A EN ALMIBAR,29,67
PIZZ A EN ALMIBAR,30,18
SALSA PIZZA,30,77
PIZZ A EN ALMIBAR,31,18
SALSA PIZZA,31,77
SALSA PIZZA,32,77
SALSA PIZZA,33,77
SALSA PIZZA,34,77
SALSA PIZZA,35,77
SALSA PIZZA,36,77
SALSA PIZZA,37,77
SALSA PIZZA,38,77
SALSA PIZZA,39,77
SALSA PIZZA,40,77
SALSA PIZZA,41,77
SALSA PIZZA,42,77
SALSA PIZZA,43,77
SALSA PIZZA,44,77
SALSA PIZZA,45,77
SALSA PIZZA,46,77
SALSA PIZZA,47,77
SALSA PIZZA,48,77
SALSA PIZZA,49,77
